nameWithOwner,url,createdAt,updatedAt,stargazers,pullRequests,acceptedPullRequests,releases,primaryLanguage,totalIssues,closedIssues
sentsin/layui,https://github.com/sentsin/layui,2015-09-22,2021-10-26,25715,216,32,48,JavaScript,756,125
psf/black,https://github.com/psf/black,2018-03-14,2022-02-11,25696,1027,856,19,Python,1843,1545
ZuzooVn/machine-learning-for-software-engineers,https://github.com/ZuzooVn/machine-learning-for-software-engineers,2016-10-09,2020-12-25,25688,79,57,0,,19,3
herrbischoff/awesome-macos-command-line,https://github.com/herrbischoff/awesome-macos-command-line,2015-09-22,2021-09-02,25619,181,104,0,,0,0
lib-pku/libpku,https://github.com/lib-pku/libpku,2018-11-22,2020-01-17,25600,34,22,0,TeX,36,30
typicode/husky,https://github.com/typicode/husky,2014-06-23,2022-02-21,25596,296,180,56,JavaScript,801,791
aria2/aria2,https://github.com/aria2/aria2,2010-11-27,2021-10-30,25592,288,195,23,C++,1580,732
nvie/gitflow,https://github.com/nvie/gitflow,2010-01-20,2012-09-25,25578,213,36,0,Shell,349,123
romkatv/powerlevel10k,https://github.com/romkatv/powerlevel10k,2019-02-24,2022-02-14,25564,151,102,29,Shell,1628,1611
Fndroid/clash_for_windows_pkg,https://github.com/Fndroid/clash_for_windows_pkg,2018-10-18,2021-12-17,25561,4,2,153,,2455,2355
hasura/graphql-engine,https://github.com/hasura/graphql-engine,2018-06-18,2022-02-18,25555,3131,2100,115,Haskell,4629,3058
tannerlinsley/react-query,https://github.com/tannerlinsley/react-query,2019-09-10,2022-02-20,25553,945,815,319,TypeScript,866,845
naptha/tesseract.js,https://github.com/naptha/tesseract.js,2015-06-24,2021-08-28,25540,118,83,33,JavaScript,477,373
niklasvh/html2canvas,https://github.com/niklasvh/html2canvas,2011-07-16,2022-01-22,25462,440,186,45,TypeScript,2322,1619
acmesh-official/acme.sh,https://github.com/acmesh-official/acme.sh,2015-12-26,2022-02-04,25449,1631,1079,35,Shell,2300,1608
VincentGarreau/particles.js,https://github.com/VincentGarreau/particles.js,2014-09-06,2017-03-25,25435,103,21,6,JavaScript,376,89
QSCTech/zju-icicles,https://github.com/QSCTech/zju-icicles,2016-06-28,2022-01-15,25415,165,134,0,HTML,46,40
request/request,https://github.com/request/request,2011-01-23,2020-02-11,25414,1165,650,0,JavaScript,2218,2130
denysdovhan/wtfjs,https://github.com/denysdovhan/wtfjs,2017-07-14,2021-06-07,25374,116,83,17,JavaScript,90,85
spf13/cobra,https://github.com/spf13/cobra,2013-09-03,2022-02-17,25319,754,412,15,Go,845,618
proxyee-down-org/proxyee-down,https://github.com/proxyee-down-org/proxyee-down,2017-10-25,2020-08-11,25284,34,16,49,Java,0,0
rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb,2012-10-30,2022-02-20,25243,625,391,69,C++,6348,4938
select2/select2,https://github.com/select2/select2,2012-03-04,2021-11-16,25231,1457,688,29,JavaScript,4684,4618
angular/angular-cli,https://github.com/angular/angular-cli,2015-06-04,2022-02-18,25214,8901,6965,471,TypeScript,13507,13257
github/fetch,https://github.com/github/fetch,2014-10-13,2021-12-08,25181,288,146,38,JavaScript,587,572
google/googletest,https://github.com/google/googletest,2015-07-28,2022-02-17,25174,1732,711,3,C++,1884,1703
Modernizr/Modernizr,https://github.com/Modernizr/Modernizr,2009-09-25,2021-10-19,25144,1199,786,25,JavaScript,1468,1307
alibaba/druid,https://github.com/alibaba/druid,2011-11-03,2022-02-14,25122,1197,935,43,Java,3465,1322
tabler/tabler,https://github.com/tabler/tabler,2018-02-01,2022-02-19,25098,458,222,30,HTML,517,461
danielgindi/Charts,https://github.com/danielgindi/Charts,2015-03-20,2021-12-31,25019,820,388,33,Swift,3951,3215
Advanced-Frontend/Daily-Interview-Question,https://github.com/Advanced-Frontend/Daily-Interview-Question,2019-01-19,2020-11-09,25010,23,15,0,JavaScript,533,291
docker/compose,https://github.com/docker/compose,2013-12-09,2022-02-18,25007,3035,2172,160,Go,6046,5396
hankcs/HanLP,https://github.com/hankcs/HanLP,2014-10-09,2022-02-18,25002,117,69,55,Python,1315,1313
transloadit/uppy,https://github.com/transloadit/uppy,2015-11-16,2022-02-17,24998,1806,1658,10,JavaScript,1689,1622
facebookresearch/Detectron,https://github.com/facebookresearch/Detectron,2017-10-05,2021-03-27,24977,99,0,0,Python,914,614
mobxjs/mobx,https://github.com/mobxjs/mobx,2015-03-14,2022-02-19,24868,1121,962,68,TypeScript,1781,1771
apache/airflow,https://github.com/apache/airflow,2015-04-13,2022-02-20,24827,15468,10992,43,Python,4949,4185
cheeriojs/cheerio,https://github.com/cheeriojs/cheerio,2011-10-09,2022-02-18,24791,1299,932,55,TypeScript,1050,1031
jgm/pandoc,https://github.com/jgm/pandoc,2010-03-20,2022-02-19,24784,1660,1274,108,Haskell,6162,5423
donnemartin/interactive-coding-challenges,https://github.com/donnemartin/interactive-coding-challenges,2015-04-28,2020-08-05,24764,234,176,0,Python,62,29
xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,2017-11-10,2021-10-07,24742,65,14,0,Java,139,71
geekcomputers/Python,https://github.com/geekcomputers/Python,2011-11-30,2022-02-18,24724,1220,992,0,Python,243,94
dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,2015-10-21,2022-02-18,24672,2584,2170,146,Java,12099,10702
geekcompany/ResumeSample,https://github.com/geekcompany/ResumeSample,2014-09-08,2017-11-22,24670,10,2,0,,0,0
nylas/nylas-mail,https://github.com/nylas/nylas-mail,2014-10-16,2018-06-03,24639,253,139,53,JavaScript,3420,2434
trailofbits/algo,https://github.com/trailofbits/algo,2016-05-15,2022-02-17,24617,619,492,2,Jinja,1468,1372
harness/drone,https://github.com/harness/drone,2014-02-07,2022-02-15,24530,1345,933,16,Go,0,0
GitbookIO/gitbook,https://github.com/GitbookIO/gitbook,2014-03-31,2018-12-27,24459,381,214,0,JavaScript,0,0
codemirror/CodeMirror,https://github.com/codemirror/CodeMirror,2011-01-14,2022-02-14,24387,2814,546,157,JavaScript,4047,3636
realpython/python-guide,https://github.com/realpython/python-guide,2011-03-15,2021-10-05,24366,836,676,0,Batchfile,261,173
rust-unofficial/awesome-rust,https://github.com/rust-unofficial/awesome-rust,2014-07-17,2022-02-19,24309,1121,978,0,Rust,104,91
hashicorp/consul,https://github.com/hashicorp/consul,2013-11-04,2022-02-18,24296,7557,6512,89,Go,4729,3800
0xAX/linux-insides,https://github.com/0xAX/linux-insides,2015-01-03,2022-02-20,24222,620,541,0,Python,173,132
odoo/odoo,https://github.com/odoo/odoo,2014-05-13,2022-02-20,24209,68453,6131,0,JavaScript,14760,12649
chakra-ui/chakra-ui,https://github.com/chakra-ui/chakra-ui,2019-08-17,2022-02-20,24162,2261,1663,1550,TypeScript,2407,2295
JedWatson/react-select,https://github.com/JedWatson/react-select,2014-08-26,2022-02-05,24150,1568,946,29,TypeScript,3232,3079
GoogleChrome/lighthouse,https://github.com/GoogleChrome/lighthouse,2016-03-08,2022-02-18,24137,4797,4173,83,JavaScript,8147,7666
johnpapa/angular-styleguide,https://github.com/johnpapa/angular-styleguide,2014-07-29,2017-12-02,24125,443,331,0,,424,361
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,2013-01-14,2021-10-20,24120,309,239,0,Jupyter Notebook,230,87
alibaba/fastjson,https://github.com/alibaba/fastjson,2011-11-03,2022-02-09,24109,785,411,83,Java,3225,1569
ajaxorg/ace,https://github.com/ajaxorg/ace,2010-10-27,2022-02-18,24101,1887,1405,0,JavaScript,2704,1902
fengdu78/Coursera-ML-AndrewNg-Notes,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes,2017-11-04,2022-01-21,24089,26,9,0,HTML,60,14
Dreamacro/clash,https://github.com/Dreamacro/clash,2018-06-10,2022-01-02,24049,363,216,41,Go,1305,1250
ageron/handson-ml,https://github.com/ageron/handson-ml,2016-02-16,2022-01-13,24045,104,54,0,Jupyter Notebook,545,427
SDWebImage/SDWebImage,https://github.com/SDWebImage/SDWebImage,2009-09-21,2022-01-27,24001,1206,799,105,Objective-C,2093,2008
bannedbook/fanqiang,https://github.com/bannedbook/fanqiang,2015-01-14,2022-02-20,23968,7,2,13,Kotlin,634,387
SortableJS/Sortable,https://github.com/SortableJS/Sortable,2013-12-19,2021-12-02,23957,471,241,23,JavaScript,1609,1262
rstacruz/nprogress,https://github.com/rstacruz/nprogress,2013-08-20,2020-04-19,23952,94,34,7,JavaScript,141,48
iview/iview,https://github.com/iview/iview,2016-07-28,2020-06-30,23930,1059,526,85,Vue,5541,4457
goabstract/Awesome-Design-Tools,https://github.com/goabstract/Awesome-Design-Tools,2019-02-12,2020-09-28,23929,361,283,0,JavaScript,26,25
Automattic/mongoose,https://github.com/Automattic/mongoose,2010-04-06,2022-02-20,23907,2106,1565,19,JavaScript,9214,8880
topjohnwu/Magisk,https://github.com/topjohnwu/Magisk,2016-09-08,2022-02-17,23843,1416,924,121,C++,3918,3880
tmux/tmux,https://github.com/tmux/tmux,2015-06-03,2022-02-17,23837,465,0,33,C,2606,2584
greenrobot/EventBus,https://github.com/greenrobot/EventBus,2012-07-16,2022-01-25,23833,125,31,7,Java,559,455
qiurunze123/miaosha,https://github.com/qiurunze123/miaosha,2018-09-14,2021-12-10,23823,59,16,0,Java,66,38
microsoft/calculator,https://github.com/microsoft/calculator,2019-01-28,2022-02-18,23805,916,717,0,C++,859,616
cockroachdb/cockroach,https://github.com/cockroachdb/cockroach,2014-02-06,2022-02-20,23770,37992,34044,0,Go,38728,34702
parallax/jsPDF,https://github.com/parallax/jsPDF,2009-12-06,2022-02-11,23761,1197,699,32,JavaScript,2173,2080
curl/curl,https://github.com/curl/curl,2010-03-18,2022-02-20,23733,5073,148,56,C,3181,3168
jobbole/awesome-python-cn,https://github.com/jobbole/awesome-python-cn,2015-11-03,2021-11-24,23719,82,51,0,Makefile,24,16
ycm-core/YouCompleteMe,https://github.com/ycm-core/YouCompleteMe,2012-04-16,2022-01-11,23685,910,703,0,Python,3097,3069
remy/nodemon,https://github.com/remy/nodemon,2010-10-03,2022-02-09,23647,472,280,81,JavaScript,1500,1468
ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,2016-06-18,2022-02-17,23599,1984,1486,64,TypeScript,2780,2323
YMFE/yapi,https://github.com/YMFE/yapi,2016-05-30,2021-10-13,23588,243,140,1,JavaScript,2231,876
terryum/awesome-deep-learning-papers,https://github.com/terryum/awesome-deep-learning-papers,2016-06-03,2018-10-19,23543,73,39,0,TeX,26,11
pcottle/learnGitBranching,https://github.com/pcottle/learnGitBranching,2012-08-13,2022-02-19,23504,523,464,0,JavaScript,386,375
akveo/ngx-admin,https://github.com/akveo/ngx-admin,2016-05-25,2022-01-26,23429,945,325,18,TypeScript,1678,1297
halfrost/LeetCode-Go,https://github.com/halfrost/LeetCode-Go,2017-07-18,2022-02-15,23423,172,152,4,Go,57,46
facebookresearch/fastText,https://github.com/facebookresearch/fastText,2016-07-16,2020-07-18,23388,236,7,4,HTML,1006,599
hashicorp/vagrant,https://github.com/hashicorp/vagrant,2010-01-21,2022-02-07,23370,3575,2491,0,Ruby,9060,8504
CMU-Perceptual-Computing-Lab/openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,2017-04-24,2022-01-09,23358,221,153,15,C++,1753,1627
lenve/vhr,https://github.com/lenve/vhr,2018-01-04,2020-12-17,23346,58,1,0,Java,236,91
ccxt/ccxt,https://github.com/ccxt/ccxt,2017-05-14,2022-02-21,23343,5350,4624,0,JavaScript,6613,6094
cmderdev/cmder,https://github.com/cmderdev/cmder,2013-07-09,2022-02-03,23311,504,350,30,C++,2114,2092
kubernetes/minikube,https://github.com/kubernetes/minikube,2016-04-15,2022-02-18,23303,6429,5367,129,Go,7180,6579
scwang90/SmartRefreshLayout,https://github.com/scwang90/SmartRefreshLayout,2017-06-02,2021-12-03,23284,22,6,10,Java,1408,1191
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,2011-11-19,2020-12-17,23282,679,399,0,C,789,401
CodeHubApp/CodeHub,https://github.com/CodeHubApp/CodeHub,2013-07-23,2020-05-06,23252,22,13,4,C#,641,407
bvaughn/react-virtualized,https://github.com/bvaughn/react-virtualized,2015-11-03,2021-05-17,23246,613,452,4,JavaScript,1090,709
byoungd/English-level-up-tips,https://github.com/byoungd/English-level-up-tips,2017-05-30,2022-02-21,23212,28,23,0,,62,50
nagadomi/waifu2x,https://github.com/nagadomi/waifu2x,2015-05-17,2021-06-03,23188,76,66,3,Lua,329,196
OAI/OpenAPI-Specification,https://github.com/OAI/OpenAPI-Specification,2014-03-03,2022-02-11,23152,960,704,10,JavaScript,1807,1316
hashicorp/vault,https://github.com/hashicorp/vault,2015-02-25,2022-02-19,23077,9399,8089,41,Go,4729,3885
yunjey/pytorch-tutorial,https://github.com/yunjey/pytorch-tutorial,2017-03-10,2020-07-06,23044,63,28,0,Python,174,112
alebcay/awesome-shell,https://github.com/alebcay/awesome-shell,2014-07-07,2021-08-31,22973,400,285,0,,47,18
dwmkerr/hacker-laws,https://github.com/dwmkerr/hacker-laws,2018-01-25,2022-02-03,22972,186,162,1,Shell,191,68
alibaba/flutter-go,https://github.com/alibaba/flutter-go,2019-01-08,2020-10-13,22971,188,158,4,Dart,0,0
powerline/fonts,https://github.com/powerline/fonts,2012-12-19,2018-11-11,22951,127,72,1,Shell,237,92
influxdata/influxdb,https://github.com/influxdata/influxdb,2013-09-26,2022-02-17,22929,10566,9166,69,Go,12271,10909
Binaryify/NeteaseCloudMusicApi,https://github.com/Binaryify/NeteaseCloudMusicApi,2016-06-22,2022-02-13,22878,337,217,146,JavaScript,1115,1027
hammerjs/hammer.js,https://github.com/hammerjs/hammer.js,2012-03-02,2019-05-28,22869,247,114,0,JavaScript,1032,759
VundleVim/Vundle.vim,https://github.com/VundleVim/Vundle.vim,2010-10-17,2019-08-17,22855,240,86,0,Vim script,704,548
encode/django-rest-framework,https://github.com/encode/django-rest-framework,2011-03-02,2022-02-12,22845,4285,2674,14,Python,3718,3608
SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,2013-01-14,2022-02-19,22834,2358,915,73,Java,7926,7826
gitlabhq/gitlabhq,https://github.com/gitlabhq/gitlabhq,2011-10-02,2022-02-21,22831,3619,2227,0,Ruby,0,0
wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,2018-05-02,2021-01-31,22761,21,1,0,Java,36,24
pypa/pipenv,https://github.com/pypa/pipenv,2017-01-20,2022-02-20,22700,1364,1066,21,Python,3569,3082
youngyangyang04/leetcode-master,https://github.com/youngyangyang04/leetcode-master,2019-12-14,2022-02-19,22664,1017,913,0,,95,30
PKUanonym/REKCARC-TSC-UHT,https://github.com/PKUanonym/REKCARC-TSC-UHT,2019-04-05,2022-01-22,22656,102,94,0,HTML,24,14
StreisandEffect/streisand,https://github.com/StreisandEffect/streisand,2014-03-23,2020-04-12,22630,649,527,0,Shell,1140,929
starship/starship,https://github.com/starship/starship,2019-04-02,2022-02-20,22625,1982,1674,100,Rust,1302,1010
alibaba/easyexcel,https://github.com/alibaba/easyexcel,2018-02-06,2022-01-13,22624,235,100,1,Java,2067,1979
CymChad/BaseRecyclerViewAdapterHelper,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,2016-04-10,2021-11-14,22621,275,190,192,Java,3319,2879
donnemartin/data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,2015-01-23,2019-02-11,22487,53,31,0,Python,31,21
angular/components,https://github.com/angular/components,2016-01-04,2022-02-20,22475,11415,9455,267,TypeScript,12957,11242
airbnb/lottie-ios,https://github.com/airbnb/lottie-ios,2016-10-06,2022-02-18,22471,521,397,45,Swift,995,719
mbeaudru/modern-js-cheatsheet,https://github.com/mbeaudru/modern-js-cheatsheet,2017-09-18,2021-12-05,22467,86,81,0,,45,37
cfenollosa/os-tutorial,https://github.com/cfenollosa/os-tutorial,2014-09-29,2018-11-03,22451,89,11,0,C,139,85
explosion/spaCy,https://github.com/explosion/spaCy,2014-07-03,2022-02-17,22450,2942,2630,91,Python,5030,4948
sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,2012-06-26,2022-02-14,22445,307,134,7,Python,4589,4541
sindresorhus/awesome-electron,https://github.com/sindresorhus/awesome-electron,2015-04-23,2022-02-06,22432,643,257,0,,40,40
dokku/dokku,https://github.com/dokku/dokku,2013-06-08,2022-02-08,22419,2561,2266,213,Shell,2343,2298
huihut/interview,https://github.com/huihut/interview,2018-02-09,2021-09-22,22412,44,32,0,C++,41,37
Netflix/Hystrix,https://github.com/Netflix/Hystrix,2012-11-19,2018-11-19,22398,800,672,79,Java,1017,678
pmndrs/react-spring,https://github.com/pmndrs/react-spring,2018-03-07,2022-02-14,22386,390,293,30,TypeScript,1052,1006
go-kit/kit,https://github.com/go-kit/kit,2015-02-03,2022-01-31,22385,622,465,12,Go,544,510
firstcontributions/first-contributions,https://github.com/firstcontributions/first-contributions,2016-09-20,2022-02-20,22331,47210,39597,0,,401,339
hollischuang/toBeTopJavaer,https://github.com/hollischuang/toBeTopJavaer,2018-10-25,2022-02-14,22329,70,52,0,Java,94,61
balena-io/etcher,https://github.com/balena-io/etcher,2015-10-27,2021-12-29,22319,1841,1580,151,TypeScript,1850,1510
ultralytics/yolov5,https://github.com/ultralytics/yolov5,2020-05-18,2022-02-20,22299,1390,1131,7,Python,4777,4580
nocodb/nocodb,https://github.com/nocodb/nocodb,2017-10-29,2022-02-19,22293,325,253,45,Vue,604,407
doczjs/docz,https://github.com/doczjs/docz,2018-03-17,2022-02-11,22245,475,362,127,TypeScript,1229,1122
heartcombo/devise,https://github.com/heartcombo/devise,2009-09-16,2021-12-16,22228,1360,746,16,Ruby,4082,3952
immerjs/immer,https://github.com/immerjs/immer,2017-12-29,2022-01-31,22228,357,282,93,JavaScript,549,530
rust-lang/rustlings,https://github.com/rust-lang/rustlings,2015-09-15,2022-02-04,22225,594,431,24,Rust,340,269
dmlc/xgboost,https://github.com/dmlc/xgboost,2014-02-06,2022-02-20,22220,3382,2817,39,C++,4291,4037
ClickHouse/ClickHouse,https://github.com/ClickHouse/ClickHouse,2016-06-02,2022-02-20,22211,23993,19906,346,C++,10659,8840
fastify/fastify,https://github.com/fastify/fastify,2016-09-28,2022-02-20,22203,2231,1843,207,JavaScript,1341,1290
pjreddie/darknet,https://github.com/pjreddie/darknet,2014-04-11,2021-12-21,22203,250,9,0,C,2260,525
meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,2018-04-23,2022-02-15,22196,916,762,80,Rust,858,816
pure-css/pure,https://github.com/pure-css/pure,2013-04-22,2022-02-15,22192,356,203,24,JavaScript,562,562
iamadamdev/bypass-paywalls-chrome,https://github.com/iamadamdev/bypass-paywalls-chrome,2018-04-07,2021-12-06,22187,183,123,31,JavaScript,997,997
balderdashy/sails,https://github.com/balderdashy/sails,2012-03-18,2022-01-14,22173,905,530,40,JavaScript,6290,5835
tj/commander.js,https://github.com/tj/commander.js,2011-08-14,2022-01-28,22170,818,553,65,JavaScript,868,864
emberjs/ember.js,https://github.com/emberjs/ember.js,2011-05-25,2022-02-19,22142,9762,7702,431,JavaScript,6546,6199
harvesthq/chosen,https://github.com/harvesthq/chosen,2011-04-18,2020-01-17,22114,761,309,34,HTML,2363,2120
alibaba/canal,https://github.com/alibaba/canal,2013-01-13,2021-10-11,22098,536,361,22,Java,3492,2677
redux-saga/redux-saga,https://github.com/redux-saga/redux-saga,2015-11-29,2022-01-31,22061,808,634,50,JavaScript,1427,1220
syl20bnr/spacemacs,https://github.com/syl20bnr/spacemacs,2012-12-17,2022-02-20,22054,7237,1381,158,Emacs Lisp,8075,7674
react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08,2022-02-16,22029,1424,1028,75,TypeScript,1891,1829
littlecodersh/ItChat,https://github.com/littlecodersh/ItChat,2016-01-19,2018-09-26,22027,105,29,13,Python,839,607
signalapp/Signal-Android,https://github.com/signalapp/Signal-Android,2011-12-15,2022-02-19,22020,2537,238,0,Java,9400,9034
mdbootstrap/mdb-ui-kit,https://github.com/mdbootstrap/mdb-ui-kit,2014-08-18,2022-01-17,21991,330,193,16,JavaScript,1136,1134
fouber/blog,https://github.com/fouber/blog,2014-04-25,2018-12-19,21989,6,1,0,,14,4
google-research/google-research,https://github.com/google-research/google-research,2018-10-04,2022-02-20,21979,226,26,0,Jupyter Notebook,701,219
google/python-fire,https://github.com/google/python-fire,2017-02-21,2021-06-17,21950,128,44,8,Python,249,147
fastai/fastai,https://github.com/fastai/fastai,2017-09-09,2022-02-16,21944,2019,1520,32,Jupyter Notebook,1552,1455
dromara/hutool,https://github.com/dromara/hutool,2014-04-13,2022-02-13,21926,510,267,109,Java,1619,1617
mattermost/mattermost-server,https://github.com/mattermost/mattermost-server,2015-06-15,2022-02-19,21910,13147,11429,292,Go,6330,5659
t4t5/sweetalert,https://github.com/t4t5/sweetalert,2014-09-30,2022-02-18,21910,284,83,13,TypeScript,691,543
vuejs/devtools,https://github.com/vuejs/devtools,2014-09-29,2022-02-15,21910,365,238,68,TypeScript,1316,977
facebook/rocksdb,https://github.com/facebook/rocksdb,2012-11-30,2022-02-20,21898,6945,563,149,C++,2433,2031
kahun/awesome-sysadmin,https://github.com/kahun/awesome-sysadmin,2014-02-09,2017-12-17,21872,478,183,0,,97,26
emscripten-core/emscripten,https://github.com/emscripten-core/emscripten,2011-02-12,2022-02-19,21871,9017,7551,1,C,7205,6227
kataras/iris,https://github.com/kataras/iris,2016-01-30,2022-02-19,21859,281,180,19,Go,813,737
jamiebuilds/the-super-tiny-compiler,https://github.com/jamiebuilds/the-super-tiny-compiler,2016-03-11,2020-01-07,21857,55,20,0,JavaScript,0,0
ovity/octotree,https://github.com/ovity/octotree,2014-05-09,2021-12-20,21836,383,249,0,JavaScript,719,678
reduxjs/react-redux,https://github.com/reduxjs/react-redux,2015-07-11,2022-02-08,21785,688,465,102,TypeScript,1149,1133
jesseduffield/lazydocker,https://github.com/jesseduffield/lazydocker,2019-05-18,2022-02-02,21776,119,103,28,Go,193,84
Polymer/polymer,https://github.com/Polymer/polymer,2012-08-23,2022-02-09,21755,1434,1069,115,HTML,3904,3648
lukasz-madon/awesome-remote-job,https://github.com/lukasz-madon/awesome-remote-job,2015-01-02,2022-01-14,21741,728,524,0,,42,39
ramda/ramda,https://github.com/ramda/ramda,2013-06-21,2022-02-05,21685,1682,1249,26,JavaScript,1547,1417
Tencent/wepy,https://github.com/Tencent/wepy,2016-11-14,2020-12-20,21683,643,428,8,JavaScript,2129,1784
seata/seata,https://github.com/seata/seata,2018-12-28,2022-02-20,21679,1876,1412,31,Java,2495,1946
labstack/echo,https://github.com/labstack/echo,2015-03-01,2022-01-24,21672,764,438,89,Go,1239,1183
nektos/act,https://github.com/nektos/act,2019-01-02,2022-02-15,21665,406,335,34,Go,591,529
matteocrippa/awesome-swift,https://github.com/matteocrippa/awesome-swift,2014-07-10,2022-01-26,21653,1613,1363,0,Swift,121,121
facebook/flow,https://github.com/facebook/flow,2014-10-28,2022-02-19,21649,2186,159,231,OCaml,6551,4178
ReactiveX/RxSwift,https://github.com/ReactiveX/RxSwift,2015-04-07,2022-01-24,21645,1229,737,71,Swift,1160,1151
lovell/sharp,https://github.com/lovell/sharp,2013-08-19,2022-02-16,21612,323,217,45,JavaScript,2771,2675
beurtschipper/Depix,https://github.com/beurtschipper/Depix,2020-12-06,2022-02-16,21604,24,12,0,Python,0,0
swagger-api/swagger-ui,https://github.com/swagger-api/swagger-ui,2011-07-15,2022-02-19,21591,3007,2123,221,JavaScript,4726,4054
github/hub,https://github.com/github/hub,2009-12-05,2021-09-04,21550,800,396,60,Go,1952,1733
dimsemenov/PhotoSwipe,https://github.com/dimsemenov/PhotoSwipe,2011-04-07,2021-04-29,21545,195,54,11,JavaScript,1652,1084
android/architecture-components-samples,https://github.com/android/architecture-components-samples,2017-05-09,2021-10-27,21516,355,213,0,Kotlin,668,533
MostlyAdequate/mostly-adequate-guide,https://github.com/MostlyAdequate/mostly-adequate-guide,2015-05-06,2021-08-18,21497,365,270,1,JavaScript,266,202
guzzle/guzzle,https://github.com/guzzle/guzzle,2011-02-28,2021-12-13,21496,1250,862,45,PHP,1731,1709
sickcodes/Docker-OSX,https://github.com/sickcodes/Docker-OSX,2020-06-04,2022-02-11,21446,98,88,0,Shell,326,186
facebook/draft-js,https://github.com/facebook/draft-js,2016-02-19,2022-02-09,21400,1347,212,26,JavaScript,1724,963
vapor/vapor,https://github.com/vapor/vapor,2016-01-18,2022-02-11,21385,1258,1023,435,Swift,1462,1381
alibaba/nacos,https://github.com/alibaba/nacos,2018-06-15,2022-02-16,21384,2383,1703,43,Java,5295,4661
inconshreveable/ngrok,https://github.com/inconshreveable/ngrok,2013-03-20,2016-05-31,21384,75,34,0,Go,748,414
Wox-launcher/Wox,https://github.com/Wox-launcher/Wox,2013-12-19,2022-02-14,21366,448,285,38,C#,3185,2396
stedolan/jq,https://github.com/stedolan/jq,2012-07-18,2021-10-24,21360,539,212,9,C,1869,1265
alibaba/spring-cloud-alibaba,https://github.com/alibaba/spring-cloud-alibaba,2017-12-01,2022-02-20,21345,757,524,26,Java,1627,1271
markerikson/react-redux-links,https://github.com/markerikson/react-redux-links,2016-01-22,2022-02-01,21338,101,62,0,,38,22
bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,2019-10-03,2022-02-09,21318,157,128,0,Python,48,36
feathericons/feather,https://github.com/feathericons/feather,2014-05-28,2021-09-22,21271,562,96,50,JavaScript,559,221
facebook/folly,https://github.com/facebook/folly,2012-06-01,2022-02-20,21264,795,4,74,C++,892,599
matterport/Mask_RCNN,https://github.com/matterport/Mask_RCNN,2017-10-19,2019-03-31,21259,258,65,3,Python,2512,798
veggiemonk/awesome-docker,https://github.com/veggiemonk/awesome-docker,2014-09-21,2022-02-16,21248,857,781,1,,112,112
rollup/rollup,https://github.com/rollup/rollup,2015-05-14,2022-02-20,21240,1658,1397,310,JavaScript,2744,2383
tqdm/tqdm,https://github.com/tqdm/tqdm,2015-06-03,2021-09-20,21219,458,260,114,Python,813,541
mongodb/mongo,https://github.com/mongodb/mongo,2009-01-15,2022-02-20,21212,1428,115,0,C++,0,0
vercel/swr,https://github.com/vercel/swr,2019-10-28,2022-02-18,21204,621,517,76,TypeScript,564,511
apache/kafka,https://github.com/apache/kafka,2011-08-15,2022-02-18,21182,11792,5151,0,Java,0,0
helm/helm,https://github.com/helm/helm,2015-10-06,2022-02-17,21176,4400,3240,153,Go,6230,5964
mbadolato/iTerm2-Color-Schemes,https://github.com/mbadolato/iTerm2-Color-Schemes,2011-04-01,2022-02-08,21152,272,243,0,Shell,83,71
google/iosched,https://github.com/google/iosched,2014-04-01,2021-07-09,21148,160,62,2,Kotlin,228,186
sampotts/plyr,https://github.com/sampotts/plyr,2015-02-14,2022-02-12,21146,490,344,79,JavaScript,1835,1139
mochajs/mocha,https://github.com/mochajs/mocha,2011-03-07,2022-02-19,21140,1986,1136,72,JavaScript,2787,2564
openfaas/faas,https://github.com/openfaas/faas,2016-12-22,2022-02-08,21135,885,651,147,Go,762,735
SwiftyJSON/SwiftyJSON,https://github.com/SwiftyJSON/SwiftyJSON,2014-06-18,2021-03-27,21132,410,215,21,Swift,684,573
fabricjs/fabric.js,https://github.com/fabricjs/fabric.js,2010-06-09,2022-02-20,21119,2067,1569,115,JavaScript,5334,5090
kriasoft/react-starter-kit,https://github.com/kriasoft/react-starter-kit,2014-04-16,2021-06-20,21116,785,486,5,TypeScript,1170,1165
